Datum,Startzeit,Endzeit,Raum,Titel,Speaker,Kategorie
Thursday,15:00,16:00,1,Cryptography: The Weird Bits,Eli Holderness,Talk
Thursday,15:00,16:00,2,The Unbearable Weight of Architecture,David Whitney,Talk
Thursday,15:00,16:00,3,AI vs. Karen: Real-Time Customer Sentiment Detection at Scale,Josef Goldstein,Talk
Thursday,15:00,16:00,6,Async messaging deep dive with Dapr, take your pub/sub skills to the next level 📨🚀,Marc Duiker,Talk
Thursday,16:20,17:20,1,Modern Architecture 101 for New Engineers & Forgetful Experts,Jerry Nixon,Talk
Thursday,16:20,17:20,2,Design for Developers,Lex Lofthouse,Talk
Thursday,16:20,17:20,5,Adventures at HyperScale!,Stefán Jökull Sigurðarson,Talk
Thursday,16:20,17:20,6,The Art of Focus: Managing Productivity with an ADHD Brain (And Why It Matters for Everyone),Alyssa Nicoll,Talk
Thursday,17:40,18:40,1,The Immutable Laws of Software and Life: Code Accordingly,Cory House,Talk
Thursday,17:40,18:40,2,This time, they will finally realize I'm a fraud.,Eugene Romero,Talk
Thursday,17:40,18:40,5,WebAssembly & .NET: The Future of Cross-Platform Apps,Dominik Titl,Talk
Thursday,17:40,18:40,6,Supercharged Search with Semantic Search and Vector Embeddings,Giorgi Dalakishvili,Talk
Thursday,17:40,18:40,7,Optimize Your Internal OS and Minimize Compatibility Issues at Work,Alice Meredith,Talk
Thursday,18:40,22:00,Expo,NDC Party,Lars Klint,Talk
Friday,09:00,10:00,1,What the Soviet Space Program Taught Me About Digital Product Development,Dean Schuster,Talk
Friday,09:00,10:00,2,Future Proof with ASP.NET Core API Versioning,Jay Harris,Talk
Friday,09:00,10:00,3,From Days to Hours: How EventStorming Transformed Our Domain Modeling Process,Vadzim Prudnikau,Talk
Friday,09:00,10:00,5,It’s Not Always About the Index: The Hidden Secrets of Query Performance,Avishag Sahar,Talk
Friday,09:00,10:00,6,Oops!… We F*ed It Up Again: The Art of Staying Calm When Systems Crash,Alon Kiriati,Talk
Friday,10:20,11:20,1,The Evolution of Security Attacks and Threats,Niall Merrigan,Talk
Friday,10:20,11:20,2,Modern Observability: Making OpenTelemetry work for you,Martin Thwaites,Talk
Friday,10:20,11:20,3,The Developer Rhapsody,Tobias Modig,Talk
Friday,10:20,11:20,5,FinOps for Engineers: Why Your Architecture Has a Price Tag,Yihui Xu,Talk
Friday,10:20,11:20,6,Mastering real-time anomaly detection with open source tools,Olena Kutsenko,Talk
Friday,11:40,12:40,1,Designers vs Developers: Who is in control here?,Lemon 🍋,Talk
Friday,11:40,12:40,2,If only I had known ...,Hannes Lowette,Talk
Friday,11:40,12:40,4,Part 2/2: Create Your AI Product Coach: A Hands-on Workshop for Writing Impactful User Stories,Kinga Magyar,Talk
Friday,11:40,12:40,5,One Source to Rule Them All: Kotlin DSLs as a Single Source of Truth for Multiple Tasks,Ivan Ponomarev,Talk
Friday,11:40,12:40,6,Lightning Talks 3,Avishag Sahar,Talk
Friday,13:40,14:40,1,How we built an AI-powered code reviewer in 80 hours,Yan Cui,Talk
Friday,13:40,14:40,2,OpenTelemetry in a Brownfield World,Jimmy Bogard,Talk
Friday,13:40,14:40,3,Edge-native applications - what happened to cloud-native?,Mikkel Mørk Hegnhøj,Talk
Friday,13:40,14:40,5,Building your own AI Agent using Semantic Kernel,Johnny Hooyberghs,Talk
Friday,13:40,14:40,6,Exploring the World of Remix: A Guide to Building Resilient and Performant Web Apps,Aurora Scharff,Talk
Friday,15:00,16:00,1,Facilitate You! - Use your facilitating skills to lead yourself,Martin Mazur,Talk
Friday,15:00,16:00,2,Flying a drone with gestures, bananas & Web APIs,Nhlanhla Lucky Nkosi,Talk
Friday,15:00,16:00,3,Avoiding common pitfalls with async/await,Stephen Cleary,Talk
Friday,15:00,16:00,5,I built an app that gives me bad advice - and it's in Jira,Lars Klint,Talk
Friday,15:00,16:00,6,Toxic Trust: The Psychology of Automation Bias in Generative AI,Matthijs van der Veer,Talk
Friday,16:20,17:20,1,Locknote: How ChatGPT Happened: A Brief History of AI,Rendle .,Talk

